"PAÍS","POBLACIÓN (año 2017)","USUARIOS INTERNET(marzo 2017)","CONTINENTE"
"Niue","1311","1100","Oceanía"
"Tokelau","1384","800","Oceanía"
"Norfolk","2169","700","Oceanía"
"Islas Malvinas","2932","2862","América"
"Santa Helena (UK)","3687","1217","África"
"Monserrat","5241","2862","América"
"San Bartolomé","7237","1540","América"
"Nauru","9322","300","Oceanía"
"Tuvalu","10544","4300","Oceanía"
"Islas Cook","11124","6000","Oceanía"
"Wallis & Futuna","15398","1300","Oceanía"
"Anguilla","16418","11557","América"
"Palau","20956","5400","Oceanía"
"Bonaire. S. E. y Saba","22303","20956","América"
"Islas Vírgenes (G.B.)","33454","14620","América"
"Islas Marianas","46050","15980","Oceanía"
"Islas Turks & Caicos","50280","14760","América"
"San Cristóbal y Nevis","51936","41230","América"
"Islas Caimán","56092","47003","América"
"Groenlandia","57733","52000","América"
"Islas Marshall","67182","4560","Oceanía"
"Samoa Americana","67242","3040","Oceanía"
"Bermuda","70196","67950","América"
"Dominica","73607","46269","América"
"Seychelles","90024","38854","África"
"Antigua y Barbuda","92436","81545","América"
"Kiribati","100743","7800","Oceanía"
"San Vicente y Las G.","102627","76000","América"
"Islas Vírgenes (U.S.)","103574","51860","América"
"Micronesia","106836","17000","Oceanía"
"Tonga","107916","8400","Oceanía"
"Granada","110694","47903","América"
"Aruba","112162","93969","América"
"Curasao","148406","138774","América"
"Santa Lucia","163922","142900","América"
"S. Tomé y Príncipe","183176","36928","África"
"Guam","183286","90000","Oceanía"
"Samoa","193161","9000","Oceanía"
"Mayotte (FR)","223426","18640","África"
"Vanuatu","224564","17000","Oceanía"
"Guyana Francesa","253511","71360","América"
"Nueva Caledonia","256275","85000","Oceanía"
"Barbados","290604","224588","América"
"Polinesia Francesa","294935","120000","Oceanía"
"Bahamas","324597","293875","América"
"Belice","347369","134432","América"
"Maldivas","394451","134860","Asia"
"Brunei Darussalem","408786","318900","Asia"
"Malta","409836","282648","Europa"
"Martinica","410508","303302","América"
"Guadalupe","468205","171140","América"
"Luxemburgo","509074","462697","Europa"
"Cabo Verde","523568","167542","África"
"Islas Solomon","571890","16200","Oceanía"
"Macao*","578025","366510","Asia"
"Suriname","579633","232317","América"
"Guinea Ecuatorial","685991","42024","África"
"Bután","716896","150548","Asia"
"Guayana","735222","295200","América"
"Comoros","737284","40550","África"
"Yibuti","757074","61320","África"
"Reunión (FR)","843459","300000","África"
"Fiji","883125","120640","Oceanía"
"Chipre","1138071","656439","Europa"
"Timor Oriental","1143667","10293","Asia"
"Trinidad & Tobago","1222363","795758","América"
"Estonia","1274709","993785","Europa"
"Mauricio","1313095","458927","África"
"Suazilandia","1386914","251448","África"
"Gabón","1608321","128665","África"
"Guinea-Bissau","1628603","43484","África"
"Gambia","1840454","200057","África"
"Lesoto","1930493","83813","África"
"Eslovenia","1996617","1440066","Europa"
"Botsuana","2098018","268620","África"
"Namibia","2162828","259899","África"
"Latvia (Letonia)","2191580","1570925","Europa"
"Jamaica","2950210","1581100","América"
"Armenia","2970495","1800000","Asia"
"Mongolia","3179997","635999","Asia"
"Uruguay","3341893","2053927","América"
"Mauritania","3359185","151163","África"
"Lituania","3525761","2293508","Europa"
"Puerto Rico","3598357","2834786","América"
"Panamá","3657024","1899892","América"
"Liberia","3887886","116637","África"
"Nueva Zelandia","4290347","3600000","Oceanía"
"Congo","4366266","295132","África"
"Georgia","4570934","1300000","Asia"
"Irlanda","4722028","3627462","Europa"
"Costa Rica","4814144","4028302","América"
"Turkmenistán","5054828","252741","Asia"
"R. Central Africana","5057208","150920","África"
"Finlandia","5262930","4703480","Europa"
"Singapur","5353494","4015121","Asia"
"Eslovaquia","5483088","4337868","Europa"
"Sierra Leona","5485998","69240","África"
"Kirguistán","5496737","2194400","Asia"
"Dinamarca","5543453","4989108","Europa"
"Libia","5613380","954275","África"
"Nicaragua","5907881","1039787","América"
"Eritrea","6086495","377363","África"
"El Salvador","6141350","1823981","América"
"Papau Nueva Guinea","6187591","125000","Oceanía"
"Laos","6586266","592764","Asia"
"Paraguay","6783272","2916807","América"
"Togo","6961049","356300","África"
"Hong Kong*","7153519","5329372","Asia"
"Tayikistán","7768385","1012220","Asia"
"Austria","8219743","6559355","Europa"
"Honduras","8746673","1668865","América"
"Suecia","9103788","8441718","Europa"
"Azerbaiyán","9493600","4746800","Asia"
"Benín","9598787","335957","África"
"Hungría","9958453","6516627","Europa"
"Somalia","10085638","126070","África"
"Haití","10110019","1217505","América"
"Republica Checa","10177300","7426376","Europa"
"Bélgica","10438353","8489901","Europa"
"Rep. Dominicana","10478756","6054013","América"
"Burundi","10557259","176040","África"
"Túnez","10732900","4196564","África"
"Grecia","10767827","5706948","Europa"
"Portugal","10781459","5950449","Europa"
"Bolivia","10800882","4214504","América"
"Guinea","10884958","141504","África"
"Chad","10975648","208537","África"
"Cuba","11031433","3309430","América"
"Ruanda","11689696","818048","África"
"Senegal","12969606","2269681","África"
"Zambia","13817479","1589010","África"
"Guatemala","14918999","3491046","América"
"Cambodia","14952665","662840","Asia"
"Malí","15494466","414985","África"
"Ecuador","15868396","8297093","América"
"Malaui","16323044","716400","África"
"Zimbabue","16337760","6721947","África"
"Níger","16344687","212480","África"
"Holanda","16730632","15549787","Europa"
"Burkina Faso","17275115","518253","África"
"Chile","17508260","12667226","América"
"Kazakstán","17522010","7884905","Asia"
"Camerún","20129878","1006494","África"
"Angola","20139765","2976657","África"
"Sri Lanka","21481334","3222200","Asia"
"Australia","21766711","17033826","Oceanía"
"Costa de Marfil","21952093","968000","África"
"Madagascar","22005222","418099","África"
"Taiwán","23234936","17530000","Asia"
"Mozambique","23515934","1011185","África"
"Corea del Norte","24589122","0","Asia"
"Ghana","25292392","3568757","África"
"Venezuela","26457369","15960691","América"
"Uzbekistán","28394180","8575042","Asia"
"Malasia","29179952","17723000","Asia"
"Nepal","29890686","2690162","Asia"
"Afganistán","30419928","1520996","Asia"
"Perú","30444999","14583953","América"
"Marruecos","32309239","16477712","África"
"Uganda","33640833","4376672","África"
"Sudán","34206710","6499275","África"
"Sudán del Sur","34206710","6499275","África"
"Canadá","35675834","33000381","América"
"Argelia","37367226","5230000","África"
"Polonia","38415284","24940902","Europa"
"Kenia","43013341","12043735","África"
"Argentina","43431886","34785206","América"
"Tanzania","46912768","5629532","África"
"España","47042984","31606233","Europa"
"Sudáfrica","48810427","8500000","África"
"Corea del Sur","48860500","40329660","Asia"
"Colombia","48929706","28475560","América"
"Myanmar","54584650","534930","Asia"
"Italia","61261254","35800000","Europa"
"Reino Unido","63047162","52731209","Europa"
"Francia","65630692","52228905","Europa"
"Tailandia","67091089","20100000","Asia"
"Congo. Rep. Dem.","73599190","915400","África"
"Alemania","81305856","65483860","Europa"
"Egipto","83688164","29809724","África"
"Etiopía","87302819","960331","África"
"Vietnam","91519289","31034900","Asia"
"Filipinas","103775002","33600000","Asia"
"México","121736809","59200000","América"
"Japón","127368088","101228736","Asia"
"Bangladesh","161083804","8054190","Asia"
"Nigeria","170123740","48366179","África"
"Pakistán","190291129","29128970","Asia"
"Brasil","204259812","117653652","América"
"Indonesia","248645008","55000000","Asia"
"Estados Unidos","321362789","280742532","América"
"India","1205073612","137000000","Asia"
"China","1343239923","538000000","Asia"
